bemv47,movieFilmTitle,data_format,mime_type,labelTag,translation,attr_lurb,artwork_creative_work,c_cap,awardName
Bohemian Rhapsody,The Godfather,Avro,image/png,experimental,Bonjour,Harper is a CTO with 3 years of experience.,The Scream,Figure 3: Timeline,Gold Medal
Stairway to Heaven,The Godfather,JSON,text/html,stable,Bonjour,John is a Data Analyst with 28 years of experience.,Water Lilies,Figure 13: Timeline,Innovation Award
Yesterday,Inception,Parquet,text/html,needs-review,Bonjour,Harper is a CTO with 21 years of experience.,The Scream,Figure 17: Distribution,Innovation Award
Hotel California,The Matrix,Parquet,application/xml,high-priority,Hola,Sarah is a Sales Rep with 11 years of experience.,The Scream,Figure 10: Timeline,Gold Medal
Bohemian Rhapsody,Interstellar,JSON,image/png,approved,Namaste,Emma is a Product Manager with 27 years of experience.,The Scream,Figure 3: Timeline,Best Paper
Stairway to Heaven,The Matrix,Avro,application/pdf,stable,Konnichiwa,Noah is a Software Engineer with 2 years of experience.,The Persistence of Memory,Figure 12: Overview,Excellence Award
Stairway to Heaven,Inception,Avro,application/json,deprecated,Bonjour,David is a Sales Rep with 11 years of experience.,The Persistence of Memory,Figure 8: Distribution,Best Paper
Bohemian Rhapsody,The Matrix,CSV,text/csv,needs-review,Bonjour,Robert is a Product Manager with 19 years of experience.,The Persistence of Memory,Figure 3: Timeline,Employee of the Month
Stairway to Heaven,Inception,JSON,application/pdf,experimental,Hola,Sarah is a Software Engineer with 24 years of experience.,The Scream,Figure 6: Timeline,Innovation Award
Imagine,Inception,Avro,text/csv,needs-review,Bonjour,Lucas is a Sales Rep with 1 years of experience.,The Persistence of Memory,Figure 7: Comparison,Excellence Award
Yesterday,Inception,CSV,text/csv,approved,Bonjour,John is a Designer with 27 years of experience.,The Persistence of Memory,Figure 5: Distribution,Employee of the Month
Hotel California,Interstellar,YAML,application/pdf,deprecated,Bonjour,James is a Designer with 9 years of experience.,The Persistence of Memory,Figure 9: Timeline,Gold Medal
Stairway to Heaven,The Matrix,YAML,text/csv,experimental,Bonjour,Oliver is a CTO with 6 years of experience.,The Scream,Figure 13: Overview,Best Paper
Yesterday,The Matrix,YAML,application/pdf,needs-review,Bonjour,Aiden is a CTO with 30 years of experience.,The Persistence of Memory,Figure 14: Comparison,Gold Medal
Stairway to Heaven,Inception,YAML,application/pdf,deprecated,Hola,Oliver is a CTO with 29 years of experience.,Water Lilies,Figure 7: Comparison,Gold Medal
Yesterday,Interstellar,JSON,image/png,approved,Bonjour,Robert is a CTO with 6 years of experience.,The Scream,Figure 18: Distribution,Excellence Award
Bohemian Rhapsody,The Godfather,XML,image/png,approved,Hola,William is a CTO with 1 years of experience.,The Scream,Figure 11: Comparison,Employee of the Month
Imagine,Interstellar,Avro,text/csv,experimental,Hola,Sarah is a VP Engineering with 2 years of experience.,The Scream,Figure 11: Distribution,Best Paper
Hotel California,Inception,XML,application/xml,experimental,Guten Tag,Patricia is a Software Engineer with 7 years of experience.,The Persistence of Memory,Figure 8: Timeline,Gold Medal
Bohemian Rhapsody,Blade Runner,JSON,text/html,needs-review,Hola,John is a CTO with 25 years of experience.,Starry Night,Figure 20: Timeline,Innovation Award
Imagine,Interstellar,Avro,text/html,approved,Hola,Mason is a Software Engineer with 9 years of experience.,Water Lilies,Figure 5: Distribution,Innovation Award
Bohemian Rhapsody,Interstellar,JSON,image/png,stable,Konnichiwa,Richard is a VP Engineering with 21 years of experience.,Starry Night,Figure 15: Timeline,Employee of the Month
Imagine,The Matrix,YAML,application/xml,experimental,Konnichiwa,Noah is a Designer with 8 years of experience.,Water Lilies,Figure 10: Overview,Employee of the Month
Imagine,Inception,CSV,application/xml,needs-review,Konnichiwa,Mason is a Designer with 18 years of experience.,The Scream,Figure 19: Distribution,Employee of the Month
Imagine,Blade Runner,YAML,application/json,approved,Konnichiwa,James is a CTO with 6 years of experience.,The Scream,Figure 7: Overview,Innovation Award
Stairway to Heaven,Inception,CSV,application/json,high-priority,Bonjour,Richard is a VP Engineering with 1 years of experience.,Starry Night,Figure 4: Overview,Excellence Award
Bohemian Rhapsody,The Matrix,Avro,text/csv,experimental,Hola,Michael is a Sales Rep with 30 years of experience.,Starry Night,Figure 7: Timeline,Excellence Award
Bohemian Rhapsody,Interstellar,CSV,text/html,high-priority,Konnichiwa,Amy is a VP Engineering with 27 years of experience.,The Persistence of Memory,Figure 14: Distribution,Best Paper
Bohemian Rhapsody,The Matrix,Parquet,text/csv,stable,Guten Tag,Oliver is a Product Manager with 20 years of experience.,Water Lilies,Figure 12: Distribution,Innovation Award
Stairway to Heaven,Blade Runner,CSV,application/pdf,deprecated,Namaste,Robert is a Data Analyst with 22 years of experience.,Water Lilies,Figure 6: Comparison,Employee of the Month
Yesterday,The Godfather,YAML,text/csv,needs-review,Namaste,Mary is a Designer with 3 years of experience.,Water Lilies,Figure 17: Timeline,Best Paper
Yesterday,Interstellar,Avro,image/png,needs-review,Hola,Patricia is a Sales Rep with 5 years of experience.,Water Lilies,Figure 13: Timeline,Employee of the Month
Yesterday,Blade Runner,JSON,application/pdf,approved,Namaste,Patricia is a Product Manager with 6 years of experience.,Starry Night,Figure 20: Overview,Employee of the Month
Bohemian Rhapsody,Interstellar,JSON,application/json,high-priority,Bonjour,Jessica is a CTO with 2 years of experience.,The Scream,Figure 1: Timeline,Gold Medal
Bohemian Rhapsody,Interstellar,YAML,text/csv,high-priority,Hola,Patricia is a Software Engineer with 29 years of experience.,The Persistence of Memory,Figure 12: Overview,Excellence Award
Bohemian Rhapsody,Interstellar,XML,text/csv,needs-review,Hola,Mason is a Data Analyst with 16 years of experience.,Water Lilies,Figure 3: Distribution,Employee of the Month
Stairway to Heaven,The Matrix,JSON,text/html,needs-review,Namaste,Olivia is a VP Engineering with 4 years of experience.,Water Lilies,Figure 3: Distribution,Gold Medal
Imagine,The Godfather,YAML,application/pdf,high-priority,Guten Tag,Mary is a Designer with 19 years of experience.,Starry Night,Figure 12: Distribution,Gold Medal
Imagine,The Godfather,YAML,image/png,deprecated,Namaste,Jennifer is a CTO with 27 years of experience.,Starry Night,Figure 17: Overview,Gold Medal
Imagine,The Godfather,JSON,image/png,high-priority,Hola,Oliver is a Designer with 5 years of experience.,Water Lilies,Figure 8: Distribution,Employee of the Month
Stairway to Heaven,The Matrix,Parquet,application/xml,stable,Hola,Noah is a Sales Rep with 19 years of experience.,Water Lilies,Figure 19: Comparison,Innovation Award
Stairway to Heaven,Interstellar,XML,text/html,stable,Bonjour,Linda is a CTO with 11 years of experience.,Water Lilies,Figure 13: Comparison,Innovation Award
Bohemian Rhapsody,The Godfather,JSON,image/png,high-priority,Bonjour,Oliver is a Sales Rep with 28 years of experience.,The Scream,Figure 5: Timeline,Excellence Award
Hotel California,The Matrix,CSV,application/pdf,approved,Guten Tag,Oliver is a Designer with 14 years of experience.,Starry Night,Figure 16: Timeline,Excellence Award
Stairway to Heaven,The Godfather,Avro,application/pdf,deprecated,Hola,Amy is a Designer with 16 years of experience.,Water Lilies,Figure 7: Comparison,Innovation Award
Stairway to Heaven,The Godfather,YAML,application/pdf,experimental,Guten Tag,Aiden is a Sales Rep with 25 years of experience.,The Persistence of Memory,Figure 11: Overview,Best Paper
Stairway to Heaven,Blade Runner,YAML,text/csv,approved,Hola,Elizabeth is a CTO with 11 years of experience.,Starry Night,Figure 8: Overview,Best Paper
Imagine,The Godfather,YAML,text/html,needs-review,Bonjour,Ethan is a Product Manager with 3 years of experience.,The Persistence of Memory,Figure 12: Comparison,Employee of the Month
Yesterday,The Godfather,XML,application/xml,deprecated,Guten Tag,Robert is a Designer with 9 years of experience.,The Persistence of Memory,Figure 3: Comparison,Gold Medal
Imagine,The Matrix,Avro,image/png,stable,Hola,Michael is a Data Analyst with 12 years of experience.,The Scream,Figure 6: Timeline,Best Paper
Yesterday,Inception,XML,application/pdf,stable,Konnichiwa,Ethan is a Designer with 1 years of experience.,Starry Night,Figure 19: Distribution,Gold Medal
Bohemian Rhapsody,The Matrix,Parquet,application/json,experimental,Bonjour,Aiden is a Software Engineer with 16 years of experience.,Water Lilies,Figure 11: Comparison,Best Paper
Yesterday,The Godfather,Parquet,application/json,stable,Guten Tag,John is a VP Engineering with 12 years of experience.,Water Lilies,Figure 4: Overview,Employee of the Month
Stairway to Heaven,The Matrix,JSON,application/json,deprecated,Bonjour,Elizabeth is a Data Analyst with 16 years of experience.,Starry Night,Figure 2: Distribution,Gold Medal
Stairway to Heaven,Blade Runner,CSV,text/csv,stable,Konnichiwa,Michael is a Product Manager with 25 years of experience.,Starry Night,Figure 3: Distribution,Innovation Award
Hotel California,The Matrix,CSV,application/json,needs-review,Konnichiwa,Aiden is a Designer with 14 years of experience.,Starry Night,Figure 14: Comparison,Innovation Award
Stairway to Heaven,Blade Runner,Avro,application/pdf,experimental,Bonjour,Mason is a Data Analyst with 19 years of experience.,Water Lilies,Figure 11: Timeline,Employee of the Month
Hotel California,The Godfather,YAML,text/html,approved,Namaste,Emma is a Sales Rep with 4 years of experience.,Water Lilies,Figure 6: Distribution,Innovation Award
Hotel California,Interstellar,YAML,application/json,experimental,Bonjour,Michael is a Designer with 26 years of experience.,Starry Night,Figure 11: Comparison,Gold Medal
Yesterday,Interstellar,JSON,application/json,deprecated,Hola,Mary is a Software Engineer with 1 years of experience.,The Persistence of Memory,Figure 1: Overview,Best Paper
Yesterday,Inception,CSV,application/pdf,needs-review,Hola,Linda is a Software Engineer with 28 years of experience.,The Scream,Figure 17: Comparison,Employee of the Month
Bohemian Rhapsody,Interstellar,Avro,image/png,needs-review,Namaste,Jessica is a Designer with 14 years of experience.,Water Lilies,Figure 9: Distribution,Employee of the Month
Imagine,The Matrix,Avro,application/json,deprecated,Bonjour,Susan is a Product Manager with 28 years of experience.,The Persistence of Memory,Figure 4: Timeline,Excellence Award
Stairway to Heaven,Interstellar,JSON,image/png,stable,Bonjour,Richard is a Product Manager with 1 years of experience.,Starry Night,Figure 7: Overview,Innovation Award
Stairway to Heaven,The Matrix,XML,text/html,needs-review,Guten Tag,Sophia is a Data Analyst with 23 years of experience.,The Persistence of Memory,Figure 17: Comparison,Excellence Award
Stairway to Heaven,The Matrix,CSV,text/csv,high-priority,Bonjour,Linda is a VP Engineering with 16 years of experience.,Starry Night,Figure 3: Comparison,Best Paper
Yesterday,Inception,YAML,text/csv,deprecated,Bonjour,Noah is a Product Manager with 11 years of experience.,The Scream,Figure 16: Comparison,Innovation Award
Imagine,The Godfather,CSV,image/png,high-priority,Hola,Mary is a CTO with 6 years of experience.,Starry Night,Figure 20: Distribution,Best Paper
Yesterday,The Matrix,Avro,text/csv,approved,Hola,Lucas is a Designer with 23 years of experience.,The Scream,Figure 19: Overview,Best Paper
Stairway to Heaven,The Matrix,JSON,application/json,deprecated,Konnichiwa,Elizabeth is a Sales Rep with 26 years of experience.,The Scream,Figure 19: Comparison,Employee of the Month
Bohemian Rhapsody,The Godfather,CSV,text/csv,experimental,Konnichiwa,Linda is a CTO with 11 years of experience.,The Scream,Figure 15: Timeline,Employee of the Month
Imagine,Interstellar,JSON,application/pdf,needs-review,Hola,Richard is a Data Analyst with 28 years of experience.,Water Lilies,Figure 8: Overview,Best Paper
Hotel California,The Matrix,XML,text/csv,deprecated,Hola,Ethan is a Sales Rep with 1 years of experience.,Water Lilies,Figure 3: Comparison,Excellence Award
Yesterday,Interstellar,CSV,text/html,experimental,Bonjour,Mason is a Designer with 4 years of experience.,Starry Night,Figure 3: Comparison,Excellence Award
