validationRule,policy,time_of_day,organizationName,v_594,auditFinding,pricing_strategy,leghold,retention_policy,tradesec,contract_value
BETWEEN 1 AND 100,PII encrypted at rest,13:23:38,Vertex Technologies,99.889% uptime,Major finding: data retention,Premium,HOLD-2020-272,30 days,[CONFIDENTIAL] Formula #382,"$4,734,007"
UNIQUE,Data retained for 7 years,17:06:53,Alpine Systems,99.181% uptime,Observation: backup schedule,Penetration,HOLD-2022-622,1 year,[CONFIDENTIAL] Formula #728,"$1,817,197"
MATCHES '^[A-Z]+',MFA required for admin,12:06:19,Alpine Systems,99.886% uptime,Major finding: data retention,Premium,HOLD-2021-513,30 days,[CONFIDENTIAL] Formula #829,"$5,632,911"
MATCHES '^[A-Z]+',Data retained for 7 years,21:23:48,DataCraft Inc,99.201% uptime,Major finding: data retention,Value pricing,HOLD-2020-745,30 days,[CONFIDENTIAL] Formula #179,"$3,314,685"
CHECK (val > 0),PII encrypted at rest,03:52:06,Skyline Partners,99.897% uptime,Non-conformance: access control,Penetration,HOLD-2024-396,7 years,[CONFIDENTIAL] Formula #292,"$4,994,582"
CHECK (val > 0),PII encrypted at rest,18:50:12,Skyline Partners,99.171% uptime,Non-conformance: access control,Market-based,HOLD-2026-735,7 days,[CONFIDENTIAL] Formula #594,"$6,389,766"
NOT NULL,MFA required for admin,22:55:26,Beacon Analytics,99.16% uptime,Non-conformance: access control,Value pricing,HOLD-2024-659,1 year,[CONFIDENTIAL] Formula #782,"$8,778,914"
CHECK (val > 0),MFA required for admin,06:07:13,Meridian Health,99.705% uptime,Observation: backup schedule,Penetration,HOLD-2022-115,indefinite,[CONFIDENTIAL] Formula #558,"$5,168,069"
BETWEEN 1 AND 100,PII encrypted at rest,00:55:28,DataCraft Inc,99.61% uptime,Non-conformance: access control,Premium,HOLD-2025-529,7 days,[CONFIDENTIAL] Formula #863,"$8,182,237"
CHECK (val > 0),PII encrypted at rest,10:28:31,Vertex Technologies,99.572% uptime,Non-conformance: access control,Penetration,HOLD-2020-618,30 days,[CONFIDENTIAL] Formula #858,"$4,861,455"
CHECK (val > 0),Data retained for 7 years,10:07:05,Beacon Analytics,99.038% uptime,Observation: backup schedule,Value pricing,HOLD-2022-420,7 days,[CONFIDENTIAL] Formula #699,"$2,124,588"
CHECK (val > 0),Data retained for 7 years,11:59:08,Beacon Analytics,99.958% uptime,Non-conformance: access control,Value pricing,HOLD-2024-357,7 days,[CONFIDENTIAL] Formula #168,"$7,155,812"
NOT NULL,MFA required for admin,14:03:57,Meridian Health,99.667% uptime,Observation: backup schedule,Premium,HOLD-2020-411,1 year,[CONFIDENTIAL] Formula #433,"$3,572,554"
UNIQUE,PII encrypted at rest,22:22:53,Global Solutions,99.02% uptime,Observation: backup schedule,Penetration,HOLD-2024-197,1 year,[CONFIDENTIAL] Formula #545,"$1,841,671"
BETWEEN 1 AND 100,MFA required for admin,09:04:22,Skyline Partners,99.228% uptime,Observation: backup schedule,Penetration,HOLD-2024-376,7 days,[CONFIDENTIAL] Formula #841,"$1,496,967"
UNIQUE,PII encrypted at rest,02:40:31,Beacon Analytics,99.069% uptime,Major finding: data retention,Cost-plus 25%,HOLD-2023-213,indefinite,[CONFIDENTIAL] Formula #483,"$8,095,316"
NOT NULL,MFA required for admin,09:57:22,TechCo Industries,99.312% uptime,Observation: backup schedule,Cost-plus 25%,HOLD-2022-696,1 year,[CONFIDENTIAL] Formula #434,"$8,939,109"
UNIQUE,MFA required for admin,15:54:13,Alpine Systems,99.549% uptime,Observation: backup schedule,Market-based,HOLD-2024-503,7 years,[CONFIDENTIAL] Formula #843,"$1,316,692"
MATCHES '^[A-Z]+',Data retained for 7 years,17:16:15,Beacon Analytics,99.519% uptime,Non-conformance: access control,Penetration,HOLD-2026-653,1 year,[CONFIDENTIAL] Formula #642,"$2,357,482"
BETWEEN 1 AND 100,MFA required for admin,05:12:41,Acme Corp,99.823% uptime,Major finding: data retention,Cost-plus 25%,HOLD-2023-117,1 year,[CONFIDENTIAL] Formula #840,"$6,472,043"
CHECK (val > 0),PII encrypted at rest,10:00:15,Acme Corp,99.663% uptime,Observation: backup schedule,Cost-plus 25%,HOLD-2022-466,7 days,[CONFIDENTIAL] Formula #790,"$808,227"
MATCHES '^[A-Z]+',Data retained for 7 years,16:30:14,DataCraft Inc,99.053% uptime,Non-conformance: access control,Penetration,HOLD-2025-943,7 years,[CONFIDENTIAL] Formula #344,"$2,337,157"
BETWEEN 1 AND 100,Data retained for 7 years,05:13:50,Skyline Partners,99.222% uptime,Observation: backup schedule,Premium,HOLD-2026-431,7 days,[CONFIDENTIAL] Formula #368,"$3,491,959"
UNIQUE,MFA required for admin,12:56:02,Pacific Research Group,99.585% uptime,Observation: backup schedule,Penetration,HOLD-2021-465,30 days,[CONFIDENTIAL] Formula #435,"$2,373,004"
UNIQUE,PII encrypted at rest,21:58:23,Quantum Dynamics,99.59% uptime,Non-conformance: access control,Value pricing,HOLD-2026-314,indefinite,[CONFIDENTIAL] Formula #579,"$3,194,884"
CHECK (val > 0),PII encrypted at rest,03:12:43,Meridian Health,99.347% uptime,Major finding: data retention,Premium,HOLD-2023-403,30 days,[CONFIDENTIAL] Formula #530,"$1,003,822"
BETWEEN 1 AND 100,Data retained for 7 years,22:01:39,Beacon Analytics,99.622% uptime,Observation: backup schedule,Market-based,HOLD-2023-361,7 days,[CONFIDENTIAL] Formula #817,"$5,282,335"
NOT NULL,PII encrypted at rest,20:44:15,TechCo Industries,99.917% uptime,Observation: backup schedule,Value pricing,HOLD-2020-910,7 days,[CONFIDENTIAL] Formula #722,"$1,503,479"
UNIQUE,PII encrypted at rest,11:26:19,Catalyst Ventures,99.049% uptime,Major finding: data retention,Market-based,HOLD-2025-469,1 year,[CONFIDENTIAL] Formula #946,"$2,918,064"
BETWEEN 1 AND 100,Data retained for 7 years,01:26:08,Beacon Analytics,99.752% uptime,Major finding: data retention,Market-based,HOLD-2021-293,indefinite,[CONFIDENTIAL] Formula #365,"$3,426,606"
CHECK (val > 0),PII encrypted at rest,19:58:39,DataCraft Inc,99.538% uptime,Major finding: data retention,Value pricing,HOLD-2024-407,1 year,[CONFIDENTIAL] Formula #997,"$9,443,700"
MATCHES '^[A-Z]+',Data retained for 7 years,04:20:04,Meridian Health,99.483% uptime,Observation: backup schedule,Value pricing,HOLD-2021-710,1 year,[CONFIDENTIAL] Formula #737,"$7,479,217"
BETWEEN 1 AND 100,PII encrypted at rest,12:23:20,TechCo Industries,99.162% uptime,Major finding: data retention,Premium,HOLD-2025-441,7 years,[CONFIDENTIAL] Formula #306,"$9,003,771"
UNIQUE,PII encrypted at rest,15:26:27,Pacific Research Group,99.772% uptime,Non-conformance: access control,Market-based,HOLD-2020-852,7 days,[CONFIDENTIAL] Formula #180,"$2,822,733"
UNIQUE,MFA required for admin,02:15:14,Meridian Health,99.76% uptime,Major finding: data retention,Premium,HOLD-2023-464,30 days,[CONFIDENTIAL] Formula #756,"$4,400,946"
UNIQUE,Data retained for 7 years,09:18:47,Beacon Analytics,99.214% uptime,Observation: backup schedule,Value pricing,HOLD-2025-894,1 year,[CONFIDENTIAL] Formula #872,"$7,628,003"
CHECK (val > 0),MFA required for admin,16:33:45,Meridian Health,99.231% uptime,Observation: backup schedule,Premium,HOLD-2021-675,30 days,[CONFIDENTIAL] Formula #470,"$2,538,175"
CHECK (val > 0),PII encrypted at rest,06:02:39,DataCraft Inc,99.938% uptime,Major finding: data retention,Market-based,HOLD-2026-447,30 days,[CONFIDENTIAL] Formula #165,"$5,915,108"
NOT NULL,PII encrypted at rest,06:43:18,Pioneer Software,99.38% uptime,Non-conformance: access control,Penetration,HOLD-2024-841,indefinite,[CONFIDENTIAL] Formula #755,"$9,490,374"
UNIQUE,MFA required for admin,08:30:06,Pacific Research Group,99.476% uptime,Observation: backup schedule,Penetration,HOLD-2020-117,indefinite,[CONFIDENTIAL] Formula #147,"$1,299,086"
NOT NULL,Data retained for 7 years,00:10:11,TechCo Industries,99.716% uptime,Non-conformance: access control,Premium,HOLD-2022-472,7 days,[CONFIDENTIAL] Formula #283,"$1,629,583"
BETWEEN 1 AND 100,MFA required for admin,16:14:08,DataCraft Inc,99.153% uptime,Observation: backup schedule,Value pricing,HOLD-2020-368,30 days,[CONFIDENTIAL] Formula #268,"$6,876,648"
UNIQUE,MFA required for admin,04:26:47,Catalyst Ventures,99.128% uptime,Observation: backup schedule,Value pricing,HOLD-2022-307,7 years,[CONFIDENTIAL] Formula #208,"$5,648,413"
NOT NULL,PII encrypted at rest,10:07:53,Vertex Technologies,99.393% uptime,Major finding: data retention,Penetration,HOLD-2023-663,indefinite,[CONFIDENTIAL] Formula #929,"$550,911"
NOT NULL,MFA required for admin,03:40:22,Pioneer Software,99.606% uptime,Non-conformance: access control,Market-based,HOLD-2023-649,1 year,[CONFIDENTIAL] Formula #290,"$3,293,164"
UNIQUE,MFA required for admin,21:25:12,Pacific Research Group,99.355% uptime,Observation: backup schedule,Penetration,HOLD-2024-796,7 days,[CONFIDENTIAL] Formula #312,"$3,235,492"
BETWEEN 1 AND 100,MFA required for admin,18:45:12,TechCo Industries,99.035% uptime,Observation: backup schedule,Penetration,HOLD-2020-681,7 years,[CONFIDENTIAL] Formula #353,"$2,962,595"
UNIQUE,MFA required for admin,17:06:22,Quantum Dynamics,99.341% uptime,Non-conformance: access control,Penetration,HOLD-2024-847,7 years,[CONFIDENTIAL] Formula #547,"$2,721,894"
BETWEEN 1 AND 100,Data retained for 7 years,05:56:13,Pacific Research Group,99.43% uptime,Non-conformance: access control,Premium,HOLD-2021-114,indefinite,[CONFIDENTIAL] Formula #726,"$8,970,279"
BETWEEN 1 AND 100,MFA required for admin,19:05:38,Catalyst Ventures,99.373% uptime,Observation: backup schedule,Premium,HOLD-2023-607,indefinite,[CONFIDENTIAL] Formula #501,"$9,564,680"
MATCHES '^[A-Z]+',MFA required for admin,18:13:42,Beacon Analytics,99.951% uptime,Major finding: data retention,Cost-plus 25%,HOLD-2025-681,1 year,[CONFIDENTIAL] Formula #675,"$7,729,584"
CHECK (val > 0),PII encrypted at rest,03:11:15,Meridian Health,99.083% uptime,Major finding: data retention,Cost-plus 25%,HOLD-2020-245,1 year,[CONFIDENTIAL] Formula #193,"$6,088,162"
CHECK (val > 0),Data retained for 7 years,15:54:58,Pacific Research Group,99.52% uptime,Observation: backup schedule,Market-based,HOLD-2023-315,1 year,[CONFIDENTIAL] Formula #309,"$3,410,745"
UNIQUE,PII encrypted at rest,01:08:32,Pioneer Software,99.815% uptime,Major finding: data retention,Penetration,HOLD-2023-544,indefinite,[CONFIDENTIAL] Formula #543,"$8,952,933"
