eunhv25,abstract_summary,book_title,source_attribution,c_uw,score_index,isbn,var_titl,issn,f_ulhs,attr_dcmv,bodytext
10.1713/p525.27,This paper presents an analysis for anomaly detection.,To Kill a Mockingbird,CDC,Japanese,1.15,978-8-97358-355-1,Quarterly Analysis 2023,1761-9116,Thompson et al. (2024),2005,The product manages operational metrics.  The customer account represents customer interactions.
10.5196/l229.19,This paper presents a framework for anomaly detection.,1984,WHO,English,6.63,978-5-42547-416-1,Executive Analysis 2025,6781-6102,Jackson et al. (2003),2006,The system manages data processing activities.  The system includes operational metrics.
10.8577/h681.42,This paper presents a framework for anomaly detection.,1984,Eurostat,French,8.28,978-8-95494-340-5,Technical Summary 2024,1134-2622,Jones et al. (2014),2020,This record monitors compliance records.  The system tracks compliance records.
10.9223/k299.39,This paper presents a novel approach for anomaly detection.,1984,Eurostat,Korean,2.82,978-7-84700-358-0,Annual Review 2020,9812-3621,Garcia et al. (2018),1992,The product includes transaction histories.  The customer account monitors operational metrics.  The customer account tracks data processing activities.
10.3532/w678.16,This paper presents an analysis for entity resolution.,The Great Gatsby,Census Bureau,French,8.21,978-5-82757-563-2,Annual Review 2021,7305-6246,Jackson et al. (2005),2016,The system manages data processing activities.  The product manages transaction histories.
10.1421/v989.8,This paper presents a framework for anomaly detection.,Brave New World,Bloomberg,English,6.99,978-0-10060-440-3,Executive Review 2024,7509-9583,Walker et al. (2015),2000,This record includes customer interactions.  The system monitors data processing activities.  The system manages data processing activities.  The service manages customer interactions.
10.3724/g994.46,This paper presents a framework for entity resolution.,To Kill a Mockingbird,Eurostat,Portuguese,1.67,978-5-45273-170-5,Annual Report 2023,1042-3078,White et al. (2023),1998,This record manages operational metrics.  This record manages compliance records.  This record tracks transaction histories.  This record tracks transaction histories.
10.3744/w499.13,This paper presents a framework for anomaly detection.,Brave New World,WHO,Japanese,6.16,978-5-89823-190-0,Quarterly Review 2021,6889-6951,Martin et al. (2016),2012,This record manages customer interactions.  The product monitors customer interactions.  The customer account manages data processing activities.
10.8121/c778.39,This paper presents a novel approach for entity resolution.,The Great Gatsby,CDC,Korean,3.66,978-0-93393-253-9,Executive Report 2022,1935-5876,Williams et al. (2013),2019,The product represents data processing activities.  This record monitors transaction histories.  The customer account manages data processing activities.  The product tracks operational metrics.
10.9870/c929.5,This paper presents a framework for anomaly detection.,1984,WHO,French,5.13,978-5-77644-408-8,Executive Summary 2024,5218-1703,Wright et al. (2001),2026,The service represents transaction histories.  The customer account monitors operational metrics.
10.9848/a605.43,This paper presents a novel approach for data classification.,1984,CDC,English,3.55,978-0-20529-683-7,Technical Review 2026,6272-8313,Anderson et al. (2021),1999,The customer account represents operational metrics.  The product tracks compliance records.  The customer account includes transaction histories.  The product monitors transaction histories.
10.1217/a206.22,This paper presents a framework for anomaly detection.,Brave New World,Bloomberg,French,7.8,978-6-29968-379-2,Technical Summary 2026,8921-1609,Smith et al. (2004),2012,The customer account includes compliance records.  The service represents operational metrics.
10.5412/y535.4,This paper presents a framework for entity resolution.,To Kill a Mockingbird,Eurostat,Korean,8.98,978-4-79816-590-7,Technical Analysis 2023,4978-1890,Lewis et al. (2017),2003,The service represents transaction histories.  The customer account includes transaction histories.  The system includes data processing activities.
10.7841/h373.42,This paper presents an analysis for entity resolution.,1984,CDC,English,8.2,978-2-15971-794-2,Quarterly Review 2020,6177-8810,Taylor et al. (2014),2005,The service manages customer interactions.  The customer account monitors compliance records.
10.6639/o468.47,This paper presents an analysis for entity resolution.,Dune,Census Bureau,Arabic,4.14,978-5-60354-997-8,Technical Report 2025,7982-7299,Rodriguez et al. (2016),2020,This record monitors operational metrics.  The customer account monitors data processing activities.  This record includes data processing activities.  The system represents operational metrics.
10.6772/i514.42,This paper presents an analysis for entity resolution.,Dune,Reuters,Japanese,4.45,978-8-55760-239-9,Technical Summary 2022,8456-1099,Martinez et al. (2026),1997,The product tracks data processing activities.  The product monitors customer interactions.  This record monitors data processing activities.  The service manages operational metrics.
10.2735/c635.7,This paper presents a framework for entity resolution.,1984,Reuters,Arabic,6.45,978-5-95846-731-5,Technical Summary 2021,3919-9593,Brown et al. (2021),2002,This record tracks data processing activities.  The customer account manages compliance records.
10.8569/x189.6,This paper presents a framework for data classification.,1984,Eurostat,Portuguese,4.41,978-7-48602-937-3,Executive Report 2026,5325-9937,Lee et al. (2000),2023,The customer account represents compliance records.  The system tracks customer interactions.  The service manages operational metrics.
10.8705/i718.14,This paper presents a framework for entity resolution.,To Kill a Mockingbird,WHO,Arabic,5.33,978-3-76275-527-1,Executive Report 2025,9625-8872,King et al. (2014),2014,The product manages data processing activities.  The customer account tracks customer interactions.  The system manages compliance records.
10.6211/f843.5,This paper presents a framework for entity resolution.,Brave New World,Eurostat,English,6.4,978-0-52111-298-1,Quarterly Analysis 2020,7070-6219,Robinson et al. (2015),2009,This record manages operational metrics.  The product manages operational metrics.
10.9810/y552.28,This paper presents a framework for entity resolution.,The Great Gatsby,CDC,Spanish,6.4,978-6-77613-192-3,Annual Analysis 2024,4961-8389,Miller et al. (2003),2023,This record tracks transaction histories.  The product includes customer interactions.  This record tracks operational metrics.  The customer account represents customer interactions.
10.3890/z478.45,This paper presents a framework for data classification.,Dune,Census Bureau,Chinese,3.19,978-7-20166-204-6,Quarterly Analysis 2022,4402-6454,Brown et al. (2025),2008,This record manages compliance records.  This record represents compliance records.  The system represents customer interactions.  The system monitors operational metrics.
10.1545/e637.48,This paper presents a novel approach for data classification.,To Kill a Mockingbird,Bloomberg,Korean,3.88,978-4-45886-312-3,Technical Analysis 2020,3973-7149,Miller et al. (2007),2013,The product includes compliance records.  This record manages transaction histories.  The service includes customer interactions.
10.6419/e196.24,This paper presents a framework for anomaly detection.,1984,Census Bureau,German,9.47,978-1-72239-233-3,Executive Summary 2020,5312-6111,Thompson et al. (2011),2000,The system represents customer interactions.  The product tracks compliance records.  This record represents operational metrics.
10.1582/k841.24,This paper presents a novel approach for data classification.,To Kill a Mockingbird,Bloomberg,Spanish,9.93,978-9-12228-104-4,Technical Review 2023,6960-3705,Miller et al. (2008),1993,The service includes operational metrics.  The service manages customer interactions.  This record tracks operational metrics.  The product monitors customer interactions.
10.9341/l704.36,This paper presents a novel approach for anomaly detection.,Dune,CDC,Japanese,8.83,978-9-83902-896-7,Technical Analysis 2024,1693-1717,Taylor et al. (2022),2013,This record represents transaction histories.  The system monitors transaction histories.  This record monitors compliance records.
10.1015/s789.19,This paper presents a novel approach for entity resolution.,The Great Gatsby,WHO,Chinese,0.26,978-7-51239-115-5,Executive Analysis 2022,6295-9451,Lee et al. (2024),1992,The service tracks transaction histories.  The service manages compliance records.  This record represents customer interactions.  This record tracks customer interactions.
10.1690/i345.2,This paper presents a novel approach for entity resolution.,Dune,Eurostat,Spanish,5.74,978-0-66306-973-9,Executive Report 2025,5034-7255,Young et al. (2007),2011,The system includes operational metrics.  This record includes customer interactions.  The customer account monitors data processing activities.  This record represents customer interactions.
10.3584/r521.44,This paper presents a novel approach for entity resolution.,1984,Eurostat,French,6.36,978-5-49052-239-2,Technical Review 2021,5706-4929,Smith et al. (2004),2004,This record includes data processing activities.  The system includes customer interactions.  This record monitors transaction histories.  The customer account represents transaction histories.
10.3639/i778.16,This paper presents an analysis for data classification.,Brave New World,WHO,Hindi,0.96,978-3-53994-335-2,Technical Analysis 2020,8941-7731,Garcia et al. (2018),2007,The customer account tracks compliance records.  The service monitors operational metrics.  The system manages transaction histories.  The service monitors transaction histories.
10.6945/g484.5,This paper presents an analysis for data classification.,Brave New World,Reuters,English,6.42,978-0-88304-155-6,Quarterly Review 2023,1897-3111,Harris et al. (2006),1997,The product monitors compliance records.  This record monitors data processing activities.  The service represents compliance records.  This record manages customer interactions.
10.5775/k931.39,This paper presents a framework for anomaly detection.,Brave New World,WHO,Korean,8.65,978-3-81288-843-2,Technical Review 2024,3559-2049,Rodriguez et al. (2013),2000,This record represents customer interactions.  This record manages customer interactions.  This record manages data processing activities.  This record manages operational metrics.
10.3893/x267.14,This paper presents an analysis for anomaly detection.,1984,WHO,French,4.85,978-0-86140-982-4,Annual Report 2022,5903-2219,Garcia et al. (2009),2011,This record manages customer interactions.  The product tracks compliance records.
10.8254/v126.34,This paper presents a framework for anomaly detection.,Brave New World,Reuters,Hindi,7.06,978-5-14535-386-6,Quarterly Review 2021,8521-5560,Brown et al. (2011),2002,The customer account represents customer interactions.  The customer account monitors transaction histories.  The customer account tracks transaction histories.
10.2305/x925.40,This paper presents a novel approach for entity resolution.,Dune,Bloomberg,Hindi,6.39,978-4-54600-674-7,Technical Summary 2020,9335-4033,Taylor et al. (2025),2020,This record represents customer interactions.  The system includes compliance records.
10.1073/r531.5,This paper presents a framework for entity resolution.,Brave New World,Census Bureau,Arabic,8.26,978-6-99295-567-4,Executive Summary 2021,2605-5405,Thompson et al. (2007),2013,The service tracks data processing activities.  The customer account monitors transaction histories.  This record represents compliance records.  The system represents operational metrics.
10.3132/v799.24,This paper presents a framework for anomaly detection.,The Great Gatsby,Eurostat,Spanish,7.96,978-0-58228-463-6,Quarterly Summary 2020,3340-7927,Lewis et al. (2013),2018,The customer account includes transaction histories.  The product includes operational metrics.  The customer account monitors operational metrics.
10.8927/b354.13,This paper presents an analysis for entity resolution.,Dune,Census Bureau,Chinese,7.6,978-2-13075-540-5,Technical Review 2021,7684-2100,Martinez et al. (2007),2009,This record monitors data processing activities.  The product represents operational metrics.
10.4114/z222.3,This paper presents a framework for data classification.,The Great Gatsby,Eurostat,Portuguese,5.33,978-0-91146-854-5,Quarterly Report 2025,4052-3679,Taylor et al. (2005),2015,The customer account monitors operational metrics.  The service manages compliance records.  The system monitors compliance records.
10.7247/j388.11,This paper presents a framework for entity resolution.,Dune,Bloomberg,Korean,9.83,978-0-70319-636-1,Annual Report 2025,1600-2788,Jones et al. (2009),2008,The system tracks compliance records.  The customer account tracks customer interactions.  The system includes transaction histories.  The service tracks transaction histories.
10.1323/a386.17,This paper presents a framework for data classification.,1984,Eurostat,English,4.39,978-3-19356-849-4,Quarterly Report 2022,4407-1266,Robinson et al. (2013),2008,The product includes customer interactions.  The system includes compliance records.
10.1657/v967.18,This paper presents a framework for data classification.,1984,Bloomberg,Chinese,3.7,978-0-38446-190-5,Executive Summary 2020,7341-7803,Smith et al. (2024),2017,The product includes operational metrics.  The system tracks transaction histories.  This record tracks data processing activities.
10.6441/m121.37,This paper presents an analysis for data classification.,The Great Gatsby,Eurostat,French,9.31,978-7-16783-801-2,Annual Summary 2026,4773-9845,Thomas et al. (2003),1996,The system includes data processing activities.  The service represents compliance records.  The system tracks customer interactions.
10.7058/t297.17,This paper presents a novel approach for data classification.,To Kill a Mockingbird,Bloomberg,Portuguese,9.63,978-0-92811-360-7,Quarterly Summary 2022,4529-2990,Robinson et al. (2001),2021,The service includes customer interactions.  This record includes compliance records.
10.3376/k851.3,This paper presents a framework for anomaly detection.,The Great Gatsby,Census Bureau,French,3.01,978-0-81931-629-6,Annual Analysis 2025,3102-6203,Young et al. (2007),2005,The system includes data processing activities.  The customer account manages transaction histories.  This record includes transaction histories.
10.2611/y822.18,This paper presents a novel approach for data classification.,Brave New World,CDC,Arabic,1.14,978-9-69201-824-1,Quarterly Review 2024,9532-8331,Martinez et al. (2023),1994,The customer account tracks transaction histories.  This record tracks operational metrics.  This record tracks operational metrics.
10.1720/e514.28,This paper presents an analysis for anomaly detection.,Dune,WHO,German,5.33,978-6-91966-709-6,Executive Summary 2024,2024-2360,Johnson et al. (2010),1994,The customer account represents compliance records.  This record tracks customer interactions.
10.1315/x536.32,This paper presents an analysis for entity resolution.,Brave New World,CDC,German,6.63,978-7-70132-619-1,Annual Analysis 2020,9366-3207,Rodriguez et al. (2001),2022,This record tracks data processing activities.  This record represents data processing activities.  The product monitors transaction histories.  This record includes transaction histories.
10.3953/v354.28,This paper presents an analysis for data classification.,To Kill a Mockingbird,Eurostat,French,0.16,978-7-29795-703-5,Annual Review 2023,7572-1949,Lewis et al. (2017),2016,The service includes data processing activities.  The system manages operational metrics.  The system represents transaction histories.  The system manages customer interactions.
10.8823/m595.14,This paper presents an analysis for data classification.,Brave New World,WHO,German,8.88,978-3-38644-935-9,Technical Report 2023,7406-7625,Clark et al. (2015),2017,The product tracks data processing activities.  The customer account includes data processing activities.
10.6566/b795.39,This paper presents a novel approach for anomaly detection.,Dune,Bloomberg,Portuguese,6.26,978-2-57278-149-9,Annual Summary 2022,8062-5833,Martinez et al. (2025),1994,The customer account tracks data processing activities.  This record tracks customer interactions.  The service includes compliance records.  The system tracks data processing activities.
10.3950/t750.49,This paper presents a framework for anomaly detection.,1984,WHO,Portuguese,0.92,978-1-92620-616-1,Technical Review 2023,9082-9550,Rodriguez et al. (2019),1990,This record includes compliance records.  The service tracks transaction histories.
10.2533/d885.31,This paper presents an analysis for entity resolution.,The Great Gatsby,Census Bureau,English,9.69,978-0-46579-292-7,Technical Review 2025,2723-6446,Wright et al. (2014),2012,This record represents transaction histories.  The product includes transaction histories.  This record manages compliance records.  The system represents transaction histories.
10.1964/g534.32,This paper presents an analysis for anomaly detection.,To Kill a Mockingbird,WHO,Chinese,8.82,978-7-58132-973-3,Technical Report 2022,5068-5238,Lewis et al. (2022),2021,This record manages customer interactions.  The service includes transaction histories.  The system represents data processing activities.
10.8507/r145.49,This paper presents a framework for data classification.,Dune,WHO,Arabic,0.89,978-0-25161-103-3,Quarterly Report 2024,3494-4921,Rodriguez et al. (2003),2015,The customer account manages data processing activities.  The customer account monitors operational metrics.
10.9012/w632.35,This paper presents an analysis for data classification.,To Kill a Mockingbird,WHO,Spanish,5.63,978-7-61936-366-4,Technical Report 2022,4659-5733,Walker et al. (2021),2015,The system monitors customer interactions.  This record represents compliance records.  The service represents compliance records.  The system includes operational metrics.
10.5400/y763.3,This paper presents a novel approach for anomaly detection.,To Kill a Mockingbird,Bloomberg,French,5.23,978-4-64036-464-5,Quarterly Report 2025,9690-6194,Thomas et al. (2017),2022,The product manages transaction histories.  This record represents transaction histories.  The service tracks operational metrics.
10.4116/t164.35,This paper presents a novel approach for data classification.,Dune,CDC,Japanese,5.56,978-6-21043-903-4,Technical Summary 2021,4679-8228,Davis et al. (2012),1992,The system manages operational metrics.  The service tracks customer interactions.  The service manages operational metrics.  The service monitors customer interactions.
10.2715/q832.14,This paper presents a framework for entity resolution.,Dune,Eurostat,Hindi,0.16,978-2-47422-707-2,Executive Summary 2021,4320-5839,Thomas et al. (2023),1995,The system represents data processing activities.  The service monitors compliance records.  The system manages transaction histories.
10.7699/b190.2,This paper presents an analysis for entity resolution.,The Great Gatsby,CDC,Hindi,4.46,978-2-50689-232-5,Executive Summary 2024,3142-4580,Thompson et al. (2026),2011,The system tracks operational metrics.  The product includes customer interactions.  The customer account manages compliance records.
10.4172/q303.48,This paper presents an analysis for entity resolution.,To Kill a Mockingbird,CDC,English,5.23,978-4-48563-721-8,Executive Report 2021,7626-6418,Davis et al. (2005),2025,This record includes operational metrics.  This record includes compliance records.  The system monitors transaction histories.  The system manages data processing activities.
10.5775/w639.45,This paper presents an analysis for anomaly detection.,To Kill a Mockingbird,Bloomberg,Spanish,3.59,978-8-93529-920-3,Quarterly Summary 2026,6222-2154,Garcia et al. (2019),2023,The customer account tracks operational metrics.  The product includes transaction histories.
10.4419/g897.32,This paper presents a framework for anomaly detection.,1984,Census Bureau,Korean,7.53,978-4-28966-458-0,Executive Summary 2021,9623-3177,Johnson et al. (2026),2002,The product includes data processing activities.  The service manages compliance records.  The service monitors operational metrics.  The product includes data processing activities.
10.6256/g867.21,This paper presents an analysis for anomaly detection.,To Kill a Mockingbird,Eurostat,English,6.52,978-6-69289-313-3,Executive Report 2022,3961-5148,Harris et al. (2008),1995,The system monitors customer interactions.  This record manages operational metrics.  The service monitors data processing activities.
10.5509/q887.45,This paper presents a novel approach for anomaly detection.,The Great Gatsby,Eurostat,German,4.17,978-8-54829-176-7,Quarterly Analysis 2025,6925-9117,Harris et al. (2006),1993,The system tracks compliance records.  The system includes compliance records.  The product includes transaction histories.
10.7190/j126.47,This paper presents a novel approach for data classification.,Brave New World,Reuters,Chinese,4.12,978-8-36510-969-5,Executive Review 2023,9524-5086,Clark et al. (2025),2025,The service monitors compliance records.  The product tracks data processing activities.  This record represents operational metrics.
10.8718/y224.19,This paper presents an analysis for data classification.,Dune,WHO,Japanese,6.59,978-0-26739-644-2,Executive Summary 2026,8070-6600,Garcia et al. (2018),2004,The service monitors operational metrics.  The service represents compliance records.  The product tracks operational metrics.  The product includes customer interactions.
10.5996/s749.33,This paper presents a framework for data classification.,Brave New World,WHO,Chinese,6.2,978-5-41046-508-4,Quarterly Review 2025,1804-5292,White et al. (2001),2011,The product monitors compliance records.  The product manages customer interactions.  The customer account includes data processing activities.
10.8675/m891.45,This paper presents a framework for data classification.,To Kill a Mockingbird,Bloomberg,Japanese,8.58,978-8-80801-439-2,Executive Report 2026,6786-9482,Davis et al. (2008),2007,The system represents transaction histories.  The customer account monitors customer interactions.
10.9996/k418.18,This paper presents a novel approach for entity resolution.,1984,Reuters,Hindi,8.97,978-4-80204-883-0,Technical Analysis 2024,9604-7311,Robinson et al. (2023),2025,The customer account includes transaction histories.  The service monitors customer interactions.  The product represents compliance records.  This record tracks compliance records.
10.8624/d214.23,This paper presents an analysis for anomaly detection.,To Kill a Mockingbird,Reuters,Korean,7.82,978-8-21151-449-6,Annual Analysis 2021,2064-9008,Miller et al. (2012),2020,This record manages compliance records.  This record includes operational metrics.
10.1328/w755.14,This paper presents a novel approach for anomaly detection.,1984,WHO,Portuguese,4.15,978-1-65600-273-4,Executive Analysis 2023,7443-3822,Walker et al. (2002),2022,This record tracks compliance records.  The customer account represents customer interactions.
10.5221/p514.42,This paper presents a framework for entity resolution.,To Kill a Mockingbird,Bloomberg,Korean,1.03,978-7-22058-753-4,Technical Analysis 2024,3309-6471,White et al. (2017),2013,This record represents operational metrics.  This record manages transaction histories.  The system includes transaction histories.  This record tracks data processing activities.
10.4648/y552.16,This paper presents an analysis for entity resolution.,The Great Gatsby,Reuters,Japanese,4.78,978-1-18583-454-5,Quarterly Review 2020,2855-6459,Williams et al. (2014),1995,The system monitors data processing activities.  The service monitors compliance records.  The service manages customer interactions.  The system represents data processing activities.
10.7409/j420.16,This paper presents a framework for data classification.,Dune,WHO,Japanese,1.61,978-5-11063-975-3,Technical Review 2021,3864-2450,Johnson et al. (2003),2000,The product monitors compliance records.  The product manages data processing activities.  The product manages transaction histories.
10.6868/s881.49,This paper presents an analysis for entity resolution.,1984,Reuters,Spanish,7.03,978-7-10244-469-6,Quarterly Summary 2024,4214-4057,Johnson et al. (2002),2007,The product tracks operational metrics.  The service represents compliance records.
10.8714/t622.33,This paper presents a framework for data classification.,To Kill a Mockingbird,CDC,Portuguese,2.35,978-4-97694-419-4,Annual Report 2025,7615-4178,Young et al. (2004),2016,This record manages customer interactions.  The system monitors data processing activities.  The product represents transaction histories.
10.5825/e730.40,This paper presents a novel approach for data classification.,1984,CDC,French,2.66,978-4-37849-757-5,Annual Analysis 2024,8918-9871,Garcia et al. (2001),2026,This record manages compliance records.  This record includes data processing activities.  This record includes customer interactions.  The customer account represents transaction histories.
10.9278/g701.49,This paper presents a framework for data classification.,1984,Census Bureau,English,7.81,978-5-91484-457-4,Executive Analysis 2020,8120-1997,Walker et al. (2020),2014,The system represents data processing activities.  The product includes data processing activities.  The product tracks compliance records.  The customer account includes data processing activities.
10.4286/d939.18,This paper presents a novel approach for data classification.,To Kill a Mockingbird,Bloomberg,Chinese,4.94,978-3-34348-204-1,Annual Summary 2022,6445-3130,Moore et al. (2002),2020,The system manages compliance records.  The customer account includes transaction histories.  The system represents compliance records.  The product includes compliance records.
10.7820/k816.37,This paper presents a novel approach for data classification.,The Great Gatsby,CDC,Japanese,5.42,978-3-62156-125-9,Annual Report 2023,9517-1222,Brown et al. (2024),1995,This record monitors data processing activities.  The customer account monitors operational metrics.  This record manages operational metrics.
10.6962/u964.13,This paper presents a framework for entity resolution.,Brave New World,WHO,German,1.26,978-0-86466-523-0,Annual Summary 2021,6484-4300,King et al. (2020),1991,This record represents operational metrics.  The service represents operational metrics.  The customer account manages transaction histories.
10.9839/a984.20,This paper presents a framework for entity resolution.,1984,Census Bureau,Portuguese,2.76,978-5-52297-464-1,Executive Review 2021,5633-1517,Wright et al. (2010),2018,The product includes data processing activities.  The customer account represents operational metrics.  This record manages data processing activities.  The system represents transaction histories.
10.2205/w505.50,This paper presents an analysis for entity resolution.,To Kill a Mockingbird,Eurostat,English,6.24,978-5-30338-174-8,Technical Analysis 2024,1701-5278,Robinson et al. (2006),2006,The customer account includes data processing activities.  The customer account manages transaction histories.
10.3341/k892.35,This paper presents a framework for entity resolution.,To Kill a Mockingbird,CDC,German,6.09,978-8-15909-296-7,Annual Review 2023,8724-4377,Young et al. (2002),1999,The product manages transaction histories.  The service manages operational metrics.
10.9509/l310.45,This paper presents a novel approach for entity resolution.,The Great Gatsby,CDC,Korean,9.47,978-1-34755-362-0,Technical Report 2022,1233-6233,Johnson et al. (2023),1994,The system represents compliance records.  The system monitors data processing activities.  The system includes operational metrics.  The customer account tracks operational metrics.
10.2788/x970.50,This paper presents a framework for data classification.,Dune,Eurostat,Japanese,5.06,978-1-11100-995-9,Technical Summary 2021,6215-6354,Davis et al. (2022),2026,This record tracks operational metrics.  The service includes operational metrics.  The product includes customer interactions.
10.9881/o162.5,This paper presents a novel approach for anomaly detection.,Dune,Eurostat,French,1.21,978-2-87176-361-1,Executive Analysis 2020,2813-2576,Martinez et al. (2016),2004,The product includes transaction histories.  The service tracks customer interactions.
10.7739/c234.8,This paper presents an analysis for entity resolution.,Brave New World,Census Bureau,Arabic,0.88,978-0-10241-178-1,Quarterly Review 2021,1375-3008,Jackson et al. (2014),2014,The product monitors compliance records.  This record represents customer interactions.  The customer account represents compliance records.
10.9272/j201.19,This paper presents a novel approach for entity resolution.,The Great Gatsby,WHO,French,1.75,978-8-12965-867-7,Technical Report 2022,4272-9395,Lewis et al. (2023),2026,The system tracks transaction histories.  The product includes transaction histories.  The product represents transaction histories.  The system monitors transaction histories.
