product_name,color,f_774,col_size,length,dim_baqr,revenueSales,global_trade_item_number,attr_ags,weight_mass,agreement,crs57
FlexPay Platform,White,EcoLine,XXL,856.27,The service includes customer interactions.,"$5,427,063",9047292774233,"scalability, data, automation",725.98,Proprietary,Electronics
CloudGuard,Purple,SmartChoice,XXL,841.68,The system includes operational metrics.,"$7,951,315",2018596263013,"reporting, compliance, cloud, integration, scalability",691.83,CC BY 4.0,Hardware
DataSync 3000,Orange,SmartChoice,M,632.37,The service tracks data processing activities.,"$2,014,272",1117830999741,"integration, reporting, scalability",298.43,Apache-2.0,Electronics
NanoCore SDK,Blue,ValueMax,S,405.39,The system monitors transaction histories.,"$9,000,580",8718981312920,"automation, analytics, data, cloud, compliance",206.31,Apache-2.0,Electronics
StreamLine ERP,White,TechBrand,XS,979.93,The customer account tracks operational metrics.,"$9,134,971",2603408487297,"performance, automation, scalability, security",687.96,CC BY 4.0,Electronics
SmartHub X1,Red,EcoLine,S,299.78,This record represents transaction histories.,"$9,263,208",3954296184462,"reporting, analytics, compliance, integration, automation",143.33,Apache-2.0,Electronics
FlexPay Platform,Black,ProSeries,XL,657.35,The customer account manages customer interactions.,"$7,042,170",2566093141818,"analytics, automation, scalability, monitoring, cloud",778.09,Apache-2.0,Clothing
FlexPay Platform,Red,TechBrand,L,979.49,This record monitors data processing activities.,"$2,073,044",2849718594849,"data, cloud",318.06,BSD-3-Clause,Clothing
NanoCore SDK,Gray,ValueMax,XL,882.03,The service monitors transaction histories.,"$2,141,306",4082226940539,"reporting, cloud, scalability, automation, integration",468.72,GPL-3.0,Food
AuditTrail Plus,Gray,EcoLine,M,635.67,The system tracks compliance records.,"$5,247,854",1113129014870,"scalability, performance, cloud, reporting, security",515.06,CC BY 4.0,Software
DataSync 3000,Purple,TechBrand,XL,190.26,The system monitors transaction histories.,"$5,790,156",3890972832152,"data, integration, reporting, monitoring",170.57,MIT,Food
SmartHub X1,Gray,TechBrand,M,299.25,The product tracks customer interactions.,"$38,485",9634807970509,"automation, compliance, scalability, analytics, data",349.79,CC BY 4.0,Clothing
AuditTrail Plus,Yellow,TechBrand,XS,430.86,This record includes transaction histories.,"$8,629,834",2617024376545,"cloud, performance, compliance, analytics, security",656.31,BSD-3-Clause,Clothing
CloudGuard,Yellow,SmartChoice,XS,359.3,This record includes customer interactions.,"$4,780,824",0266502374167,"scalability, cloud, automation, integration, compliance",726.02,CC BY 4.0,Services
CloudGuard,Blue,TechBrand,XS,126.21,The product manages data processing activities.,"$3,968,894",0569067447163,"performance, cloud, security",281.21,MIT,Food
SmartHub X1,Purple,EcoLine,L,706.49,The system manages transaction histories.,"$3,040,834",3923126043260,"analytics, data, integration",407.36,GPL-3.0,Hardware
SmartHub X1,Black,ProSeries,L,479.25,The customer account monitors data processing activities.,"$5,106,138",1454563502000,"security, compliance, reporting, monitoring",908.49,MIT,Services
CloudGuard,White,SmartChoice,M,334.35,The system includes data processing activities.,"$9,258,134",2555989534396,"analytics, cloud",629.6,Proprietary,Electronics
Widget Pro,Brown,EcoLine,S,704.69,The system includes transaction histories.,"$5,753,873",4738202368485,"reporting, analytics, integration, monitoring",482.87,Proprietary,Software
Widget Pro,Green,ValueMax,M,696.74,This record tracks data processing activities.,"$9,499,836",0367881278686,"monitoring, compliance, security, cloud, data",160.09,Apache-2.0,Software
Widget Pro,Gray,SmartChoice,XL,707.78,The customer account tracks operational metrics.,"$3,697,630",4481230834024,"compliance, data, security",989.54,Apache-2.0,Software
DataSync 3000,Red,ProSeries,XXL,605.2,The product tracks data processing activities.,"$9,216,306",4269450053424,"performance, monitoring",106.53,CC BY 4.0,Hardware
AuditTrail Plus,White,ValueMax,XL,206.24,The service represents operational metrics.,"$4,510,606",3962736527172,"cloud, scalability, security, reporting, automation",180.49,GPL-3.0,Electronics
FlexPay Platform,Green,EcoLine,L,687.4,This record includes customer interactions.,"$1,209,776",6376182091660,"data, scalability",132.27,MIT,Food
CloudGuard,Brown,TechBrand,XS,957.62,The system manages operational metrics.,"$1,426,479",3279724572308,"scalability, performance, analytics, data",824.94,MIT,Software
FlexPay Platform,Blue,ValueMax,L,141.92,This record includes customer interactions.,"$7,167,143",6254361721314,"analytics, monitoring, automation, scalability",360.56,MIT,Electronics
VaultKeeper,Green,EcoLine,L,530.53,The customer account represents compliance records.,"$2,521,273",4945147541022,"cloud, integration, reporting, performance",814.67,MIT,Software
AuditTrail Plus,White,EcoLine,XS,323.12,This record represents compliance records.,"$5,916,793",5767695236687,"performance, scalability, security, integration, data",581.01,BSD-3-Clause,Software
VaultKeeper,Black,TechBrand,S,361.77,This record includes operational metrics.,"$9,368,969",7210552472863,"security, data, cloud",117.32,CC BY 4.0,Hardware
CloudGuard,Purple,TechBrand,XXL,964.92,The product includes data processing activities.,"$9,758,747",1792025213109,"cloud, scalability, reporting, monitoring, automation",527.5,GPL-3.0,Services
AuditTrail Plus,Yellow,SmartChoice,XXL,695.28,The product includes customer interactions.,"$1,007,646",0928206678498,"security, integration, cloud, compliance",973.13,Proprietary,Services
CloudGuard,Black,SmartChoice,XL,56.09,The service represents transaction histories.,"$1,296,356",7756620563411,"automation, monitoring",778.82,GPL-3.0,Electronics
SmartHub X1,White,EcoLine,XL,106.55,This record manages data processing activities.,"$5,187,174",3830341990970,"automation, analytics",943.51,MIT,Food
FlexPay Platform,Purple,ValueMax,S,314.54,The service tracks customer interactions.,"$1,634,762",5681820967904,"cloud, reporting, analytics",885.22,MIT,Hardware
SmartHub X1,Black,EcoLine,XXL,161.13,The customer account manages transaction histories.,"$8,780,300",5725459606339,"cloud, monitoring",627.83,BSD-3-Clause,Electronics
Widget Pro,Green,ProSeries,XL,867.55,The system monitors data processing activities.,"$7,631,409",5242149551127,"reporting, compliance, scalability, cloud",939.84,Proprietary,Services
Widget Pro,Yellow,ProSeries,L,409.09,The customer account represents compliance records.,"$6,153,746",8955168740903,"cloud, analytics",290.73,Apache-2.0,Software
AuditTrail Plus,Blue,EcoLine,L,874.17,The system tracks compliance records.,"$7,860,936",8711216636515,"monitoring, reporting, security, scalability",114.42,BSD-3-Clause,Electronics
StreamLine ERP,Green,SmartChoice,S,640.25,The product manages data processing activities.,"$6,381,120",0567303064421,"analytics, compliance, integration",81.8,CC BY 4.0,Services
AuditTrail Plus,Gray,EcoLine,XXL,893.08,This record includes data processing activities.,"$7,190,612",5423567782659,"data, performance, security, analytics, automation",668.0,Proprietary,Clothing
NanoCore SDK,Yellow,TechBrand,S,896.51,This record monitors operational metrics.,"$1,907,007",6480727910336,"monitoring, integration, security",348.15,Apache-2.0,Hardware
VaultKeeper,Red,ProSeries,M,16.29,The product manages data processing activities.,"$8,375,022",7665586851276,"cloud, performance, scalability, integration",381.63,CC BY 4.0,Hardware
AuditTrail Plus,White,ValueMax,XS,995.36,The system includes data processing activities.,"$6,901,127",1798178904633,"performance, integration, analytics, security, monitoring",469.63,MIT,Food
Sentinel Monitor,Purple,SmartChoice,XS,939.62,This record manages operational metrics.,"$4,490,736",4463060002589,"automation, cloud, integration, security",555.78,BSD-3-Clause,Clothing
VaultKeeper,Purple,TechBrand,XL,429.16,The service represents compliance records.,"$5,338,250",8263128196482,"security, analytics, monitoring, data",437.48,CC BY 4.0,Software
CloudGuard,Red,ValueMax,XXL,543.72,The system manages compliance records.,"$425,293",2752334383640,"analytics, cloud, data, scalability",111.02,Proprietary,Electronics
DataSync 3000,Green,ProSeries,M,894.62,The system includes compliance records.,"$6,064,240",3617061713665,"cloud, scalability, compliance, data, analytics",659.7,CC BY 4.0,Software
Widget Pro,Blue,ProSeries,M,483.96,The customer account manages transaction histories.,"$85,130",2841390808823,"analytics, security, data, automation",138.65,MIT,Hardware
CloudGuard,White,ProSeries,L,199.32,The system tracks transaction histories.,"$4,938,884",7768634234619,"cloud, security, reporting, integration",882.87,BSD-3-Clause,Software
FlexPay Platform,Yellow,ValueMax,XS,607.33,The service represents transaction histories.,"$5,921,939",5172084964985,"data, analytics, cloud, automation, security",790.92,GPL-3.0,Clothing
DataSync 3000,Black,ProSeries,M,145.13,The product includes data processing activities.,"$5,346,038",0537953816493,"analytics, performance, compliance",716.29,CC BY 4.0,Electronics
VaultKeeper,Purple,SmartChoice,M,813.41,This record represents data processing activities.,"$8,287,841",7046117295963,"compliance, data",643.7,Proprietary,Electronics
Sentinel Monitor,White,EcoLine,L,37.1,The customer account manages data processing activities.,"$5,661,462",0171644556185,"monitoring, data, integration, compliance, automation",983.97,BSD-3-Clause,Hardware
DataSync 3000,Yellow,ValueMax,XS,29.39,The system includes customer interactions.,"$1,764,884",5632135800401,"compliance, analytics",263.8,CC BY 4.0,Software
AuditTrail Plus,White,EcoLine,S,583.49,The system represents operational metrics.,"$2,484,052",9671883977457,"analytics, compliance, monitoring",711.41,GPL-3.0,Software
SmartHub X1,Black,TechBrand,XS,971.77,The system represents data processing activities.,"$3,627,151",7637153988547,"performance, analytics, cloud",218.86,GPL-3.0,Services
Sentinel Monitor,Brown,ValueMax,S,780.04,This record includes operational metrics.,"$7,099,339",2491271130724,"reporting, performance",452.7,GPL-3.0,Electronics
StreamLine ERP,Blue,ProSeries,L,212.14,The service manages compliance records.,"$8,522,598",5074510663436,"monitoring, compliance, performance",607.49,Proprietary,Services
DataSync 3000,Red,EcoLine,XS,219.66,The system includes transaction histories.,"$4,466,729",3181439666134,"security, cloud, scalability, automation, reporting",288.06,Proprietary,Food
Widget Pro,Blue,EcoLine,XL,907.79,The customer account monitors operational metrics.,"$4,004,370",2512257207650,"compliance, analytics, cloud",679.24,MIT,Software
NanoCore SDK,Orange,ValueMax,XS,488.36,This record monitors data processing activities.,"$758,936",0943882211457,"automation, performance, compliance, reporting, cloud",364.35,MIT,Food
FlexPay Platform,Yellow,ValueMax,XXL,856.97,The customer account monitors data processing activities.,"$4,529,798",8026325703965,"analytics, security, integration",638.77,GPL-3.0,Hardware
StreamLine ERP,Orange,ValueMax,S,265.38,The product tracks compliance records.,"$9,885,260",6443098591679,"compliance, analytics, data, reporting",927.24,Apache-2.0,Services
CloudGuard,Gray,ProSeries,XL,558.19,This record tracks compliance records.,"$4,837,199",1407034910740,"automation, data, monitoring, compliance, analytics",350.28,GPL-3.0,Software
StreamLine ERP,Green,TechBrand,XXL,270.74,This record monitors transaction histories.,"$1,355,222",4307536661449,"cloud, monitoring, integration, automation",804.4,Apache-2.0,Hardware
SmartHub X1,White,EcoLine,L,554.33,The product tracks data processing activities.,"$4,989,439",9782661287585,"automation, integration, reporting, monitoring, security",461.34,Proprietary,Electronics
AuditTrail Plus,Blue,EcoLine,XL,906.86,This record manages transaction histories.,"$6,260,766",2989406260787,"analytics, data",270.25,CC BY 4.0,Electronics
NanoCore SDK,Brown,TechBrand,M,565.49,The product includes data processing activities.,"$9,809,253",8038287232440,"monitoring, security, analytics, performance, data",153.11,MIT,Software
DataSync 3000,Black,EcoLine,XS,473.8,The customer account monitors compliance records.,"$934,705",1467238497916,"scalability, data, cloud",141.77,CC BY 4.0,Hardware
SmartHub X1,Green,ValueMax,XXL,699.66,This record monitors compliance records.,"$4,866,999",4197546617662,"compliance, reporting",120.21,BSD-3-Clause,Electronics
VaultKeeper,White,TechBrand,XXL,650.46,The customer account monitors data processing activities.,"$5,952,329",2774025883586,"cloud, scalability",351.93,CC BY 4.0,Software
NanoCore SDK,Orange,EcoLine,M,784.98,The product monitors data processing activities.,"$8,116,888",6792988425995,"analytics, data, monitoring, cloud, scalability",96.63,MIT,Services
Sentinel Monitor,Yellow,EcoLine,XXL,795.63,The system represents compliance records.,"$7,048,372",1094101759025,"reporting, integration",133.3,CC BY 4.0,Software
StreamLine ERP,Black,EcoLine,M,491.15,The product represents customer interactions.,"$2,720,411",6831901302056,"automation, cloud",682.39,CC BY 4.0,Hardware
StreamLine ERP,Orange,EcoLine,S,570.41,The service manages operational metrics.,"$5,981,829",9821766191284,"analytics, reporting",230.65,Proprietary,Software
NanoCore SDK,Red,EcoLine,M,922.28,The product monitors operational metrics.,"$1,141,059",2418938984690,"monitoring, reporting",936.93,GPL-3.0,Hardware
Widget Pro,Red,ProSeries,L,260.96,The product includes customer interactions.,"$3,427,466",8503719905169,"performance, reporting",946.61,GPL-3.0,Hardware
Widget Pro,Blue,TechBrand,L,507.65,The product monitors compliance records.,"$5,091,515",3000389608706,"cloud, integration, monitoring, scalability, data",438.01,Proprietary,Food
NanoCore SDK,Black,ProSeries,L,918.08,This record represents data processing activities.,"$9,876,362",0368900301027,"compliance, data, automation",349.73,CC BY 4.0,Clothing
FlexPay Platform,Green,ValueMax,L,478.75,The system includes data processing activities.,"$4,198,640",8375374584384,"performance, scalability, analytics, data",346.7,BSD-3-Clause,Hardware
VaultKeeper,Orange,ProSeries,XS,203.63,This record manages customer interactions.,"$5,117,030",8315203771070,"compliance, monitoring, integration, scalability",827.2,MIT,Electronics
