boolean_enumeration,month,percent,customer_list,attr_br,internal_communication,col_finan,marketIntelligence,dowval,rhfaj64
Disabled,December,96.95%,"Skyline Partners, Catalyst Ventures, Alpine Systems, Global Solutions",0.6896,[INTERNAL] Q1 strategy review pending board approval,Q2 2024: $45M projected,Competitor Skyline Partners launched VaultKeeper,Saturday,Acquire competitor
Enabled,January,2.4%,"Pioneer Software, Quantum Dynamics",2.9782,[INTERNAL] Q1 strategy review pending board approval,Q3 2027: $99M projected,Competitor Alpine Systems launched SmartHub X1,Monday,Acquire competitor
Disabled,March,49.69%,"Global Solutions, Pioneer Software, Acme Corp, Catalyst Ventures, TechCo Industries",4.51,[INTERNAL] Q2 strategy review pending board approval,Q2 2024: $42M projected,Competitor DataCraft Inc launched Sentinel Monitor,Monday,Expand APAC market
Inactive,November,47.81%,"Catalyst Ventures, Pioneer Software, Acme Corp, Skyline Partners, Global Solutions",0.0481,[INTERNAL] Q2 strategy review pending board approval,Q2 2026: $67M projected,Competitor Vertex Technologies launched SmartHub X1,Sunday,Launch SaaS tier
Inactive,November,46.55%,"Pacific Research Group, Alpine Systems, Skyline Partners, Meridian Health, Quantum Dynamics",9.3552,[INTERNAL] Q4 strategy review pending board approval,Q3 2025: $24M projected,Competitor Quantum Dynamics launched DataSync 3000,Sunday,Acquire competitor
Enabled,March,41.86%,"Skyline Partners, Pioneer Software",3.59,[INTERNAL] Q3 strategy review pending board approval,Q4 2026: $68M projected,Competitor Pacific Research Group launched Sentinel Monitor,Friday,Acquire competitor
Disabled,May,36.67%,"Quantum Dynamics, Global Solutions, Skyline Partners",5.6782,[INTERNAL] Q3 strategy review pending board approval,Q4 2025: $84M projected,Competitor Vertex Technologies launched StreamLine ERP,Wednesday,Expand APAC market
Disabled,June,14.44%,"DataCraft Inc, Pacific Research Group, TechCo Industries, Meridian Health, Beacon Analytics",4.6692,[INTERNAL] Q4 strategy review pending board approval,Q2 2026: $81M projected,Competitor TechCo Industries launched FlexPay Platform,Wednesday,IPO readiness
Disabled,August,30.06%,"Pioneer Software, DataCraft Inc, Vertex Technologies, Skyline Partners, TechCo Industries",9.5402,[INTERNAL] Q1 strategy review pending board approval,Q2 2024: $68M projected,Competitor Beacon Analytics launched Sentinel Monitor,Sunday,Launch SaaS tier
Disabled,August,87.37%,"Acme Corp, Alpine Systems, Meridian Health, Beacon Analytics, Vertex Technologies",7.9457,[INTERNAL] Q4 strategy review pending board approval,Q4 2026: $94M projected,Competitor Global Solutions launched Widget Pro,Wednesday,Expand APAC market
Enabled,August,53.5%,"Alpine Systems, Global Solutions, Catalyst Ventures, TechCo Industries",4.0525,[INTERNAL] Q3 strategy review pending board approval,Q4 2026: $12M projected,Competitor Beacon Analytics launched AuditTrail Plus,Sunday,Acquire competitor
Active,June,23.27%,"TechCo Industries, Quantum Dynamics, Pioneer Software",6.7666,[INTERNAL] Q2 strategy review pending board approval,Q2 2027: $80M projected,Competitor Acme Corp launched StreamLine ERP,Saturday,IPO readiness
Disabled,June,78.78%,"Alpine Systems, Pioneer Software, Acme Corp, TechCo Industries",4.9415,[INTERNAL] Q3 strategy review pending board approval,Q2 2027: $60M projected,Competitor Acme Corp launched DataSync 3000,Sunday,Acquire competitor
Enabled,December,86.71%,"Alpine Systems, Quantum Dynamics, TechCo Industries",7.3797,[INTERNAL] Q3 strategy review pending board approval,Q4 2026: $43M projected,Competitor Global Solutions launched VaultKeeper,Wednesday,IPO readiness
Disabled,April,91.96%,"Alpine Systems, Beacon Analytics",2.3848,[INTERNAL] Q1 strategy review pending board approval,Q2 2025: $60M projected,Competitor Catalyst Ventures launched DataSync 3000,Monday,Launch SaaS tier
Active,September,5.02%,"TechCo Industries, Catalyst Ventures, Quantum Dynamics",6.0076,[INTERNAL] Q1 strategy review pending board approval,Q1 2026: $57M projected,Competitor Meridian Health launched NanoCore SDK,Sunday,Acquire competitor
Enabled,August,68.44%,"Quantum Dynamics, Meridian Health, Catalyst Ventures",2.166,[INTERNAL] Q2 strategy review pending board approval,Q2 2024: $25M projected,Competitor Global Solutions launched DataSync 3000,Friday,Launch SaaS tier
Disabled,July,58.01%,"Vertex Technologies, Beacon Analytics, DataCraft Inc, Pacific Research Group",5.8762,[INTERNAL] Q1 strategy review pending board approval,Q3 2027: $77M projected,Competitor Beacon Analytics launched Sentinel Monitor,Tuesday,Launch SaaS tier
Disabled,June,51.05%,"Alpine Systems, Global Solutions, Skyline Partners, TechCo Industries",9.0071,[INTERNAL] Q2 strategy review pending board approval,Q4 2024: $81M projected,Competitor Global Solutions launched FlexPay Platform,Wednesday,IPO readiness
Enabled,June,56.4%,"Vertex Technologies, Acme Corp",3.796,[INTERNAL] Q1 strategy review pending board approval,Q3 2027: $68M projected,Competitor DataCraft Inc launched Widget Pro,Sunday,IPO readiness
Inactive,July,29.1%,"Beacon Analytics, Pioneer Software, Vertex Technologies, Meridian Health",5.5339,[INTERNAL] Q2 strategy review pending board approval,Q3 2026: $98M projected,Competitor Quantum Dynamics launched AuditTrail Plus,Tuesday,Expand APAC market
Inactive,December,52.99%,"Pioneer Software, Global Solutions, Meridian Health, Acme Corp",5.7922,[INTERNAL] Q2 strategy review pending board approval,Q4 2026: $75M projected,Competitor DataCraft Inc launched VaultKeeper,Sunday,Expand APAC market
Active,November,8.0%,"Acme Corp, Global Solutions, TechCo Industries",3.4123,[INTERNAL] Q1 strategy review pending board approval,Q2 2026: $11M projected,Competitor DataCraft Inc launched AuditTrail Plus,Friday,Acquire competitor
Active,June,29.07%,"Catalyst Ventures, Alpine Systems",6.6922,[INTERNAL] Q2 strategy review pending board approval,Q2 2027: $2M projected,Competitor Acme Corp launched StreamLine ERP,Sunday,IPO readiness
Disabled,August,37.18%,"Pioneer Software, Acme Corp",2.0564,[INTERNAL] Q2 strategy review pending board approval,Q4 2024: $61M projected,Competitor DataCraft Inc launched FlexPay Platform,Sunday,IPO readiness
Enabled,April,16.08%,"Quantum Dynamics, Beacon Analytics, Pioneer Software, Alpine Systems, Meridian Health",9.9654,[INTERNAL] Q2 strategy review pending board approval,Q1 2024: $27M projected,Competitor Global Solutions launched SmartHub X1,Tuesday,Acquire competitor
Enabled,April,44.66%,"Skyline Partners, DataCraft Inc, Acme Corp, Pacific Research Group, Beacon Analytics",3.4285,[INTERNAL] Q2 strategy review pending board approval,Q1 2027: $96M projected,Competitor Quantum Dynamics launched NanoCore SDK,Friday,IPO readiness
Inactive,March,27.14%,"Global Solutions, Meridian Health",6.653,[INTERNAL] Q1 strategy review pending board approval,Q2 2026: $47M projected,Competitor Beacon Analytics launched StreamLine ERP,Friday,Launch SaaS tier
Inactive,December,20.6%,"Beacon Analytics, TechCo Industries, Quantum Dynamics, Catalyst Ventures, Global Solutions",9.2313,[INTERNAL] Q3 strategy review pending board approval,Q4 2024: $85M projected,Competitor Alpine Systems launched Sentinel Monitor,Monday,IPO readiness
Disabled,October,70.35%,"Quantum Dynamics, Pioneer Software, Pacific Research Group",3.0044,[INTERNAL] Q4 strategy review pending board approval,Q3 2027: $9M projected,Competitor TechCo Industries launched SmartHub X1,Sunday,Expand APAC market
Enabled,December,99.5%,"DataCraft Inc, TechCo Industries, Meridian Health, Acme Corp, Global Solutions",2.9848,[INTERNAL] Q4 strategy review pending board approval,Q3 2026: $77M projected,Competitor Catalyst Ventures launched AuditTrail Plus,Tuesday,Acquire competitor
Disabled,September,28.67%,"Catalyst Ventures, TechCo Industries, Acme Corp",8.0032,[INTERNAL] Q1 strategy review pending board approval,Q2 2026: $72M projected,Competitor Meridian Health launched NanoCore SDK,Friday,IPO readiness
