channel,period_interval_raw,deleted_at_v2,period_interval,about,browserUserAgent,periodInterval,score_index_info,day_of_week_raw,region,src_date,v_677,CHANNEL,f_versi,month,day_of_week,BROWSER_USER_AGENT,devtype,v_zve,translation,nullableFlag,dte,endDate,HEADLINE_TITLE_TEXT,channel_2,vby19,medium,file_path,date_v2,dim_chan,qtrval,year_6,sadt73,p_488,created_at,v_868,tenant_identifier,measvol,user_device_type,chrome,enddt,channel_14,SCORE_INDEX,ifpg43,whifrq29,from_date,q3,dim_end_,monthval,src_salary_compensation,val_836,year,src_end_date,dim_time,fact_quarter,dev_type,meta_onpm,datetime,year_2,v_873,educationLevel,c_601,VITAL_SIGN,d_ji,error,eaxwws4,kjpyvu64,raw_timestamp,price_cost_val,THRESHOLD_LIMIT,end_dt,dim_etl_batch_id,ttl
Chat,Jan-Mar,,Jan-Mar,The system includes operational metrics.,Firefox,FY 2025,6.39,Friday,PA,2018-04-13,8.94,In-Store,2.3.60,October,Saturday,Chrome,Desktop,Firefox,Bonjour,true,2020-09-27,2020-04-27,New: Policy Change,Web,Wearable,In-Store,/var/tmp/batch_928.parquet,2019-08-08,In-Store,Q4 2023,2002,6.07,2026-07-29T00:00:00Z,2018-10-21 10:53:32,2021-04-26,tenant-035,687.12,IoT,Opera,2019-02-09,Email,0.21,April,voice_300fceceb0b88e99.wav,2023-05-14,Q1 2020,2022-12-01,March,"$220,038",2016,1998,2019-02-23,23:28:46,Q3 2021,IoT,Q1 2026,2026-06-23T00:00:00Z,2010,Omeprazole 20mg,Bachelor's,Safari,BP 139/100 HR 105,true,HTTP 503 Service Unavailable,+44,Firefox,2026-02-26T09:08:26Z,6190.56,warn=6392,2020-04-16,batch-20230215-27,245 days
Phone,2020-2025,,Jan-Mar,The customer account tracks compliance records.,Chrome,2020-2025,1.66,Monday,IL,2026-01-22,9.56,Phone,2.10.47,April,Tuesday,Firefox,Tablet,Safari,Bonjour,YES,2018-03-20,2022-12-21,New: Partnership,Email,Smart TV,Mobile,/var/uploads/batch_812.parquet,2024-06-27,Web,Q2 2025,2016,7.77,2023-09-03T00:00:00Z,2022-04-18T04:43:03Z,2022-12-27,tenant-003,3675.15,IoT,Edge,2022-12-31,In-Store,5.55,October,voice_8989f247430078ad.wav,2023-02-05,Q4 2023,2018-12-16,January,"$84,435",2015,2011,2024-11-14,07:25:10,Q3 2023,Wearable,Q4 2020,2018-06-06T00:00:00Z,1991,Metformin 500mg,Bachelor's,Opera,BP 156/68 HR 105,false,FileNotFoundError: 3076,+86,Safari,2018-01-20T11:41:53Z,7253.77,crit=6458,2025-08-11,batch-20200713-51,209 days
Phone,FY 2025,,2020-2025,This record manages customer interactions.,Edge,2020-2025,1.25,Saturday,OH,2025-06-27,6.36,Mobile,1.9.91,August,Monday,Firefox,Mobile,Edge,Namaste,YES,2021-06-30,2018-10-22,Breaking: Product Launch,Email,IoT,Phone,/var/logs/batch_828.json,2019-05-12,In-Store,Q4 2023,2019,8.51,2026-10-21T00:00:00Z,2018-03-07 04:43:04,2021-03-01,tenant-034,5878.38,Mobile,Safari,2025-03-07,Mobile,1.12,March,voice_d6c6bae1c37fad0a.wav,2023-05-29,Q4 2023,2019-03-21,June,"$81,807",1997,2019,2025-02-01,22:54:13,Q4 2023,Desktop,Q1 2023,2026-04-09T00:00:00Z,1999,Lisinopril 10mg,PhD,Chrome,BP 150/110 HR 76,true,Connection timeout after 7417ms,+81,Edge,2020-06-17T03:19:50Z,1456.91,min=9569,2023-02-21,batch-20180522-32,174 days
Social Media,FY 2025,2018-02-05 10:50:11,Q1 2024,The product includes customer interactions.,Opera,2020-2025,5.32,Saturday,WA,2019-05-11,4.06,Mobile,5.10.42,August,Monday,Opera,Mobile,Safari,Namaste,false,2020-11-22,2024-09-02,Updated: Policy Change,Email,Wearable,Web,/var/uploads/batch_454.log,2025-01-18,Social Media,Q2 2021,2004,1.24,2018-11-28T00:00:00Z,2020-10-09T13:01:50Z,2023-01-15,tenant-020,8523.2,IoT,Opera,2025-12-10,Chat,4.92,February,voice_f8f1a0a5f030693b.wav,2018-01-30,Q2 2022,2021-09-09,September,"$40,409",2009,1996,2023-01-05,21:14:25,Q2 2022,Mobile,Q3 2026,2023-02-15T00:00:00Z,2016,Albuterol 90mcg,High School,Firefox,BP 129/76 HR 86,false,PermissionDenied: insufficient privileges,+44,Edge,2024-12-22T22:28:40Z,7552.06,max=5289,2024-12-12,batch-20230614-38,88 days
Phone,Jan-Mar,,2020-2025,The system manages operational metrics.,Chrome,2020-2025,5.02,Monday,NC,2019-02-14,0.26,Web,2.6.23,February,Saturday,Safari,IoT,Safari,Namaste,NO,2020-11-08,2024-09-29,New: Product Launch,In-Store,Tablet,Mobile,/var/config/batch_72.json,2019-03-06,Social Media,Q2 2021,2000,4.26,2020-04-26T00:00:00Z,2023-05-12T12:32:56Z,2025-07-04,tenant-042,321.74,Mobile,Edge,2026-04-23,Phone,0.99,June,voice_3179697c483a0cf8.wav,2022-09-06,Q3 2021,2024-03-31,March,"$100,494",2000,1996,2020-02-21,16:29:02,Q4 2022,Wearable,Q4 2020,2024-10-03T00:00:00Z,1994,Metformin 500mg,Bachelor's,Firefox,BP 93/91 HR 73,false,FileNotFoundError: 7405,+81,Opera,2024-09-16T21:30:18Z,2505.91,max=3452,2024-04-11,batch-20230817-17,99 days
Web,Q1 2024,2025-06-03T06:56:36Z,Jan-Mar,The product tracks customer interactions.,Brave,Jan-Mar,5.52,Thursday,CA,2021-11-11,3.41,Email,1.13.46,June,Monday,Edge,IoT,Opera,Konnichiwa,NO,2024-07-24,2026-09-07,Breaking: Product Launch,Phone,Smart TV,Chat,/var/tmp/daily_361.parquet,2022-11-29,Social Media,Q1 2021,2009,4.97,2022-11-21T00:00:00Z,2022-01-17 12:04:52,2019-02-11,tenant-019,2780.27,Wearable,Opera,2023-07-02,Social Media,4.61,February,voice_8e204d3d86f7e6d9.wav,2022-02-13,Q1 2023,2022-11-26,July,"$77,996",2025,2000,2022-12-28,06:39:04,Q1 2020,Mobile,Q2 2020,2020-11-29T00:00:00Z,2016,Ibuprofen 200mg,High School,Chrome,BP 146/109 HR 114,false,NullPointerException at line 5798,+91,Edge,2025-04-06T01:07:30Z,5129.21,min=8365,2026-08-22,batch-20250604-01,332 days
Web,2020-2025,,Q1 2024,The product monitors compliance records.,Firefox,Jan-Mar,7.95,Wednesday,WA,2024-05-22,5.67,Web,5.9.74,March,Monday,Chrome,Tablet,Opera,Konnichiwa,false,2019-08-28,2018-08-31,Updated: Policy Change,Web,IoT,In-Store,/var/config/daily_372.csv,2018-02-05,Web,Q4 2023,2007,0.6,2023-04-22T00:00:00Z,2022-06-20 18:04:04,2024-11-29,tenant-030,8852.81,Mobile,Firefox,2024-08-23,Email,3.2,July,voice_bb1ced470ed89001.wav,2021-08-14,Q3 2024,2018-03-18,January,"$50,676",2025,1991,2021-08-21,19:33:43,Q1 2023,Smart TV,Q3 2022,2023-08-14T00:00:00Z,2022,Albuterol 90mcg,PhD,Chrome,BP 152/79 HR 88,false,PermissionDenied: insufficient privileges,+33,Opera,2022-03-05 06:39:17,4491.5,max=6197,2026-01-02,batch-20191127-07,300 days
Chat,Jan-Mar,,2020-2025,The system manages operational metrics.,Safari,Jan-Mar,3.71,Wednesday,TX,2024-05-28,3.06,Phone,3.2.89,September,Saturday,Opera,Desktop,Brave,Hola,true,2025-07-08,2018-11-20,New: Product Launch,Email,Desktop,Chat,/var/config/batch_676.log,2024-11-28,Chat,Q2 2025,2018,9.51,2026-12-16T00:00:00Z,2020-11-10T13:58:37Z,2026-03-29,tenant-033,6445.63,IoT,Brave,2021-05-16,Phone,9.48,November,voice_8db490681790817c.wav,2019-11-25,Q1 2022,2019-07-24,January,"$93,393",1995,2008,2018-02-01,02:38:14,Q2 2023,Mobile,Q2 2026,2024-10-20T00:00:00Z,2016,Ibuprofen 200mg,Associate's,Edge,BP 166/92 HR 119,false,ValueError: invalid literal for int(),+44,Edge,2020-06-20 01:01:18,9711.36,min=4169,2024-09-30,batch-20231213-27,40 days
Social Media,Q1 2024,2019-05-17T03:56:02Z,Jan-Mar,The service monitors data processing activities.,Edge,Q1 2024,2.28,Tuesday,TX,2025-07-24,6.72,Phone,5.0.27,February,Saturday,Opera,IoT,Edge,Konnichiwa,NO,2025-01-02,2025-07-15,Updated: Policy Change,Email,IoT,Social Media,/var/data/daily_82.xml,2021-10-29,Mobile,Q1 2020,2001,2.55,2018-08-12T00:00:00Z,2021-08-10 22:19:26,2020-11-16,tenant-001,2386.47,Desktop,Firefox,2024-05-12,Web,1.89,February,voice_eaa38dd87d646800.wav,2025-07-27,Q4 2026,2020-07-04,May,"$209,746",2015,1998,2023-12-16,06:01:39,Q3 2024,Tablet,Q2 2021,2023-10-26T00:00:00Z,1997,Ibuprofen 200mg,High School,Chrome,BP 176/96 HR 72,false,ValueError: invalid literal for int(),+44,Firefox,2026-07-15T23:17:56Z,9334.31,warn=2720,2025-01-26,batch-20260325-73,171 days
Mobile,H2 2023,,Q1 2024,The customer account represents compliance records.,Edge,FY 2025,3.6,Thursday,FL,2022-12-10,5.35,In-Store,5.13.47,August,Saturday,Edge,Wearable,Chrome,Namaste,YES,2018-03-14,2026-10-10,Updated: Partnership,Email,Desktop,Email,/var/exports/export_248.xml,2023-09-26,Web,Q2 2024,2016,5.2,2025-01-10T00:00:00Z,2022-03-25T14:18:40Z,2022-11-29,tenant-049,9420.22,Smart TV,Brave,2020-11-02,Social Media,3.18,January,voice_ad0032aad3f5a57e.wav,2018-02-28,Q4 2020,2018-11-10,October,"$75,395",1996,2004,2021-06-15,17:16:24,Q3 2025,IoT,Q4 2024,2021-03-25T00:00:00Z,1991,Albuterol 90mcg,Bachelor's,Firefox,BP 105/100 HR 119,false,Connection timeout after 5600ms,+55,Edge,2023-07-08T15:28:05Z,1972.33,min=2232,2023-04-27,batch-20241013-72,191 days
Web,2020-2025,,Q1 2024,The product represents customer interactions.,Chrome,Jan-Mar,4.72,Wednesday,MA,2025-03-03,0.87,Email,2.19.89,August,Sunday,Brave,Tablet,Chrome,Konnichiwa,YES,2023-11-26,2025-11-16,New: Product Launch,In-Store,Desktop,Social Media,/var/config/batch_54.log,2020-11-06,In-Store,Q1 2022,1992,4.05,2023-07-10T00:00:00Z,2026-09-02 12:06:44,2022-03-22,tenant-022,6067.25,Desktop,Edge,2022-08-31,Phone,8.26,September,voice_51ff42bbf9cb3478.wav,2023-09-17,Q2 2024,2019-05-06,May,"$239,117",1992,1990,2026-08-30,23:39:44,Q4 2024,Mobile,Q4 2026,2020-12-21T00:00:00Z,2025,Ibuprofen 200mg,High School,Edge,BP 111/95 HR 118,false,ValueError: invalid literal for int(),+44,Chrome,2018-10-18T23:27:29Z,2580.46,crit=6185,2026-03-05,batch-20260219-92,363 days
Email,2020-2025,,FY 2025,This record monitors compliance records.,Chrome,2020-2025,6.49,Tuesday,GA,2023-05-15,5.81,Chat,4.4.72,November,Sunday,Chrome,Mobile,Safari,Hola,false,2020-01-24,2021-12-11,Breaking: Policy Change,Social Media,Wearable,Web,/var/exports/batch_650.xml,2022-08-17,Chat,Q1 2021,2018,3.38,2022-08-13T00:00:00Z,2025-04-27T21:26:50Z,2024-11-03,tenant-049,3639.67,Wearable,Chrome,2019-09-18,Phone,3.67,April,voice_7d2801ff8915fb75.wav,2023-04-03,Q2 2022,2019-05-09,September,"$85,262",2022,2005,2019-04-14,01:14:38,Q1 2026,Smart TV,Q4 2025,2026-12-12T00:00:00Z,2009,Ibuprofen 200mg,High School,Chrome,BP 133/86 HR 119,false,ValueError: invalid literal for int(),+61,Safari,2025-03-23 18:07:35,8612.0,crit=9180,2020-12-08,batch-20260505-18,182 days
Chat,FY 2025,,Jan-Mar,This record monitors customer interactions.,Brave,Q1 2024,2.4,Monday,FL,2020-02-03,9.07,Mobile,0.5.81,November,Monday,Edge,Desktop,Edge,Hola,NO,2019-09-13,2018-07-31,Updated: Partnership,Web,Desktop,Chat,/var/exports/daily_505.csv,2019-10-12,Web,Q1 2021,2010,3.87,2021-11-02T00:00:00Z,2018-05-08T18:49:34Z,2024-01-22,tenant-042,7787.9,Mobile,Firefox,2025-09-02,Email,0.53,July,voice_267d737e2ae83a53.wav,2025-03-21,Q4 2021,2022-09-12,September,"$77,583",2006,2015,2026-09-11,11:00:42,Q3 2020,Smart TV,Q3 2023,2025-05-11T00:00:00Z,1992,Ibuprofen 200mg,Associate's,Safari,BP 153/78 HR 110,false,HTTP 503 Service Unavailable,+49,Brave,2022-11-13 02:55:38,7657.46,min=8172,2025-04-01,batch-20240622-03,303 days
Phone,H2 2023,,Q1 2024,This record tracks customer interactions.,Brave,Jan-Mar,5.34,Tuesday,NC,2024-12-18,1.12,Web,3.6.75,May,Sunday,Firefox,Smart TV,Chrome,Bonjour,true,2021-03-14,2026-01-17,Updated: Product Launch,Chat,Tablet,In-Store,/var/exports/batch_607.parquet,2023-07-05,Chat,Q3 2025,2013,0.57,2020-12-09T00:00:00Z,2026-08-17 01:24:24,2023-09-16,tenant-044,6992.21,IoT,Firefox,2021-09-27,Email,9.17,December,voice_cddc281b2ea6223d.wav,2022-11-07,Q1 2025,2019-02-02,March,"$177,727",2026,2015,2020-07-21,09:20:53,Q2 2021,Wearable,Q2 2025,2026-05-22T00:00:00Z,1993,Ibuprofen 200mg,PhD,Edge,BP 133/69 HR 73,true,PermissionDenied: insufficient privileges,+91,Chrome,2022-12-10 17:36:08,3065.92,warn=537,2023-12-27,batch-20190318-49,242 days
Email,2020-2025,,2020-2025,The product monitors data processing activities.,Safari,2020-2025,0.13,Thursday,NY,2019-04-03,3.64,Mobile,0.18.67,October,Sunday,Firefox,Mobile,Brave,Guten Tag,false,2020-06-10,2023-05-20,Breaking: Product Launch,In-Store,Wearable,Email,/var/tmp/export_189.xml,2020-03-22,Web,Q1 2024,2013,6.25,2022-11-03T00:00:00Z,2023-01-14 20:40:35,2026-02-22,tenant-049,3933.96,IoT,Opera,2018-09-05,In-Store,8.28,July,voice_fbacbeea72c495c1.wav,2024-10-19,Q2 2026,2025-06-15,April,"$115,460",1998,2015,2024-12-08,16:36:35,Q2 2020,Wearable,Q1 2024,2023-03-18T00:00:00Z,2012,Ibuprofen 200mg,Master's,Chrome,BP 177/71 HR 99,false,Connection timeout after 829ms,+61,Safari,2021-05-28 00:17:42,1044.58,warn=509,2020-02-05,batch-20241118-81,161 days
